tip,date,group
RADDL3-1038,22-Oct-2015,R3
REGION_5_2018-50,20-Dec-2018,R5
REGION_5_2018-100,27-Mar-2018,R5
REGION_5_2018-304,25-Oct-2018,R5
REGION_5_2018-311,13-Nov-2018,R5
REGION_5_2019-1,20-Mar-2019,R5
REGION_5_2019-13,17-Jan-2019,R5
Z-12-001,20-Jan-2012,R4
Z-12-088,29-Mar-2012,R13
Z-12-118,31-May-2012,R4
Z-12-134,18-Jun-2012,R4
Z-12-212,20-Apr-2012,R4
Z-13-002,20-Feb-2013,R13
Z-13-009,19-Jan-2013,R4
Z-14-138,16-Jun-2014,R13
Z-14-146,26-Jun-2014,R4
Z-14-149,28-Jun-2014,R4
Z-14-152,20-Feb-2014,R13
Z-15-019,28-Jan-2015,R13
Z-15-116,17-Jun-2015,R4
Z-15-130,20-Jun-2015,R4
Z-15-148,20-Apr-2015,R13
Z-15-185,18-Oct-2015,R13
Z-16-013,16-Jan-2016,R4
Z-16-159,20-Dec-2016,R4
Z-16-186,20-Mar-2016,R4
