sample_id,redcap_repeat_instrument,redcap_repeat_instance,sample_labid,sample_sequenceid,sample_batchid,apha_sub,apha_rv,sample_tissuetype,sample_buffer,country,hmpcr_n405,rtassay,rtqpcr,lateral_flow_test,fat,drit,diagnostic_result,test_centre,diag_notes,diagnostic_complete,ngs_runid,duplicate_id,ngs_rundate,ngs_location,ngs_provider,ngs_submission,ngs_platform,primer_scheme,nanopore_platform,ngs_flowcell,illumina_platform,ngs_prep,ngs_barcode,ngs_library,ngs_analysis_type,ngs_merged_from,total_reads,mapped_reads,mean_depth,stdev_depth,median_depth,minimum_reads,maximum_reads,genomecov_depthx1,genomecov_depthx5,genomecov_depthx20,genomecov_depthx100,negative_control_sample,genbank_accession,consensus_coverage,consensus_fasta,ngs_notes,sequencing_complete
GOAT,sequencing,1,,,,,,,,,,,,,,,,,,,run2_21,1,29/10/2021,RITM,,,Nanopore,rabvSEasia,Minion,FAQ75669,,Amplicon,barcode16,,Single_run,,7321,7321,272.8347301,123.4178471,244,0,613,11886,11868,11676,11301,No,,11581,GOAT__run2_21__instance1.fasta,,2
H-21-002,,,,,,,,Other,Unknown,Philippines,NA,Unknown,,NA,NA,NA,,Other,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-21-002,sequencing,1,,,,,,,,,,,,,,,,,,,rabv_4b_2025_r10_run4,1,24-Mar-2025,RITM,,,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode65,,Single_run,,1121,992,35.96287295,62.19283251,19,0,390,11513,10012,5758,450,No,,4148,H-21-002__rabv_4b_2025_r10_run4__instance1.fasta,,0
H-21-005,,,,,,,,Other,Unknown,Philippines,NA,Unknown,,NA,NA,NA,,Other,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-21-005,sequencing,1,,,,,,,,,,,,,,,,,,,rabv_4b_2025_r10_run4,1,24-Mar-2025,RITM,,,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode68,,Single_run,,2256,2071,72.40160912,136.395229,29,0,824,11501,10420,7563,2265,No,,5393,H-21-005__rabv_4b_2025_r10_run4__instance1.fasta,,0
H-23-011-Sk_10,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-23-011-Sk_10,sequencing,1,,,,,,,,,,,,,,,,,,,run10_23,1,2/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAU43074,,Amplicon,barcode21,,Single_run,,9365,9365,287.2930774,262.3817771,221,0,1417,10835,10820,10473,8231,No,,10149,H-23-011-Sk_10__run10_23__instance1.fasta,,2
H-23-011Sa_10,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-23-011Sa_10,sequencing,1,,,,,,,,,,,,,,,,,,,run10_23,1,2/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAU43074,,Amplicon,barcode20,,Single_run,,824,824,25.46672813,91.57652708,0,0,512,988,984,979,920,No,,922,H-23-011Sa_10__run10_23__instance1.fasta,,2
H-23-011Sa_11,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-23-011Sa_11,sequencing,1,,,,,,,,,,,,,,,,,,,run11_23,1,6/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT96586,,Amplicon,barcode52,,Single_run,,1246,1246,39.10777741,120.4332724,0,0,764,4791,3948,3363,978,No,,3054,H-23-011Sa_11__run11_23__instance1.fasta,,2
H-23-011Sa_12,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-23-011Sa_12,sequencing,1,,,,,,,,,,,,,,,,,,,run12_23,1,8/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT89919,,Amplicon,barcode93,,Single_run,,320,320,9.889456923,42.35118176,0,0,300,1364,1351,669,384,No,,612,H-23-011Sa_12__run12_23__instance1.fasta,,2
H-23-011Sk_12,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-23-011Sk_12,sequencing,1,,,,,,,,,,,,,,,,,,,run12_23,1,8/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT89919,,Amplicon,barcode92,,Single_run,,19329,19329,626.5606772,537.1848781,543,0,2432,11206,11174,10734,9251,No,PP858762,10512,H-23-011Sk_12__run12_23__instance1.fasta,,2
H-25-18-2,,,,,,,,Other,Unknown,Philippines,NA,Unknown,,NA,NA,NA,,Other,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H-25-18-2,sequencing,1,,,,,,,,,,,,,,,,,,,rabv_4b_2025_r10_run4,1,24-Mar-2025,RITM,,,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode67,,Single_run,,955,866,30.9389876,40.5471831,12,0,248,10764,9244,4914,546,No,,3626,H-25-18-2__rabv_4b_2025_r10_run4__instance1.fasta,,0
H17-001,,,,,,,,Other,Unknown,Philippines,NA,Unknown,,NA,NA,NA,,Other,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H17-001,sequencing,1,,,,,,,,,,,,,,,,,,,RabV_4B_2025_R10_run3,1,24-Mar-2025,RITM,,,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode36,,Single_run,,1180,1061,39.76600738,55.42239619,13,0,271,11353,10502,4963,1464,No,,3554,H17-001__rabv_4b_2025_r10_run4__instance1.fasta,,0
H22-01,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H22-01,sequencing,1,,,,,,,,,,,,,,,,,,,run5_21,1,1/3/22,RITM,,,Nanopore,rabvSEasia,Minion,FAQ67517,,Amplicon,barcode20,,Single_run,,105322,105322,3460.889457,2939.418139,3087,0,11872,11361,10908,10702,10060,No,,10524,H22-01__run5_21__instance1.fasta,,2
H24-007,,,,,,,,Other,Unknown,Philippines,NA,Unknown,,NA,NA,NA,,Other,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H24-007,sequencing,1,,,,,,,,,,,,,,,,,,,rabv_4b_2024_R10_run1,1,6-Nov-2024,RITM,,,Nanopore,rabvSEasia,Minion,FAZ05583,,Amplicon,barcode09,,Single_run,,8813,8402,287.3079953,454.3651003,41,0,1951,11746,10661,7685,4789,No,,6837,H24-007__rabv_4b_2025_r10_run4__instance1.fasta,,0
H24-010,,,,,,,,Other,Unknown,Philippines,NA,Unknown,,NA,NA,NA,,Other,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H24-010,sequencing,1,,,,,,,,,,,,,,,,,,,rabv_4b_2024_R10_run1,1,6-Nov-2024,RITM,,,Nanopore,rabvSEasia,Minion,FAZ05583,,Amplicon,barcode10,,Single_run,,10208,9797,332.8023802,849.4812755,50,0,4884,11886,11480,8902,3814,No,,6946,H24-010__rabv_4b_2025_r10_run4__instance1.fasta,,0
H24-028,,,,,,,,Other,Unknown,Philippines,NA,Unknown,,NA,NA,NA,,Other,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H24-028,sequencing,1,,,,,,,,,,,,,,,,,,,rabv_4b_2024_R10_run1,1,6-Nov-2024,RITM,,,Nanopore,rabvSEasia,Minion,FAZ05583,,Amplicon,barcode11,,Single_run,,33714,29496,1100.77288,1538.046697,665,0,9626,11900,11834,11663,10725,No,,11407,H24-028__rabv_4b_2025_r10_run4__instance1.fasta,,0
H24-068,,,,,,,,Other,Unknown,Philippines,NA,Unknown,,NA,NA,NA,,Other,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H24-068,sequencing,1,,,,,,,,,,,,,,,,,,,rabv_4b_2024_R10_run1,1,6-Nov-2024,RITM,,,Nanopore,rabvSEasia,Minion,FAZ05583,,Amplicon,barcode13,,Single_run,,48460,44847,1549.051877,2033.996145,473,0,8679,11894,11885,11328,8967,No,,10446,H24-068__rabv_4b_2025_r10_run4__instance1.fasta,,0
NFW.10,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFW.10,sequencing,1,,,,,,,,,,,,,,,,,,,run10_23,1,2/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAU43074,,Amplicon,barcode29,,Single_run,,,,,,,,,,,,,Yes,,,,,2
NFW.11,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFW.11,sequencing,1,,,,,,,,,,,,,,,,,,,run11_23,1,6/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT96586,,Amplicon,barcode30,,Single_run,,2,2,0.066878981,0.249822764,0,0,1,798,0,0,0,Yes,," -10",NFW.11.fasta,,2
NFW.12,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFW.12,sequencing,1,,,,,,,,,,,,,,,,,,,run12_23,1,8/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT89919,,Amplicon,barcode70,,Single_run,,24,24,0.791233657,4.194010151,0,0,24,412,412,393,0,Yes,,356,NFW.12.fasta,,2
NFW2,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFW2,sequencing,1,,,,,,,,,,,,,,,,,,,run1_22,1,19/10/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAQ70637,,Amplicon,barcode24,,Single_run,,1,1,0.074673148,0.354392936,0,0,2,554,0,0,0,Yes,," -9",NFW2__run1_22__instance1.fasta,,2
NFW3,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFW3,sequencing,1,,,,,,,,,,,,,,,,,,,run3_22,1,4/11/22,RITM,,,Nanopore,rabvSEasia,Minion,FAU42532,,Amplicon,barcode57,,Single_run,,196,196,5.714549112,31.32759916,0,0,193,793,371,370,369,Yes,,317,NFW3__run3_22__instance1.fasta,,2
NFW4,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFW4,sequencing,1,,,,,,,,,,,,,,,,,,,run2_22,1,26/10/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAU03395,,Amplicon,barcode37,,Single_run,,,,,,,0,0,0,0,0,0,Yes,," -9",NFW4__run2_22__instance1.fasta,,2
NFW4.3,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFW4.3,sequencing,1,,,,,,,,,,,,,,,,,,,run3_22,1,4/11/22,RITM,,,Nanopore,rabvSEasia,Minion,FAU42532,,Amplicon,barcode69,,Single_run,,141,141,4.567717063,13.59241299,0,0,66,1810,1656,1004,0,Yes,,712,,,2
NFW5,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFW5,sequencing,1,,,,,,,,,,,,,,,,,,,run3_22,1,4/11/22,RITM,,,Nanopore,rabvSEasia,Minion,FAU42532,,Amplicon,barcode72,,Single_run,,,,,,,0,0,0,0,0,0,Yes,," -9",NFW5__run3_22__instance1.fasta,,2
NFW_1_R6,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFW_1_R6,sequencing,1,,,,,,,,,,,,,,,,,,,run6_23,1,25/01/2023,RITM,,,Nanopore,rabvSEasia,Minion,FAT95864,,Amplicon,barcode79,,Single_run,,8,8,0.242624874,1.196781402,0,0,7,703,375,0,0,Yes,," -10",NFW_1_R6__run6_23__instance1.fasta,,2
NFW_2_R6,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFW_2_R6,sequencing,1,,,,,,,,,,,,,,,,,,,run6_23,1,25/01/2023,RITM,,,Nanopore,rabvSEasia,Minion,FAT95864,,Amplicon,barcode87,,Single_run,,,,,,,,,,,,,Yes,,,,,2
NFW_r6_1,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFW_r6_1,sequencing,1,,,,,,,,,,,,,,,,,,,run5_22,1,11/12/22,RITM,,,Nanopore,rabvSEasia,Minion,FAU03787,,Amplicon,barcode65,,Single_run,,50,50,1.499748575,8.275548541,0,0,50,383,383,382,0,Yes,,322,NFW_r6_1__run5_22__instance1.fasta,,2
NFW_r6_2,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFW_r6_2,sequencing,1,,,,,,,,,,,,,,,,,,,run5_22,1,11/12/22,RITM,,,Nanopore,rabvSEasia,Minion,FAU03787,,Amplicon,barcode72,,Single_run,,,,,,,0,0,0,0,0,0,Yes,," -9",NFW_r6_2__run5_22__instance1.fasta,,2
NTC1,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTC1,sequencing,1,,,,,,,,,,,,,,,,,,,run1_21,1,26/10/2021,RITM,,,Nanopore,rabvSEasia,Minion,FAQ75669,,Amplicon,barcode38,,Single_run,,1,1,0.07123701,0.359672849,0,0,2,473,0,0,0,Yes,," -10",NTC1__run1_21__instance1.fasta,,2
NTC2,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTC2,sequencing,1,,,,,,,,,,,,,,,,,,,run2_21,1,29/10/2021,RITM,,,Nanopore,rabvSEasia,Minion,FAQ75669,,Amplicon,barcode30,,Single_run,,,,,,,0,0,0,0,0,0,Yes,," -9",NTC2__run2_21__instance1.fasta,,2
NTC3,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTC3,sequencing,1,,,,,,,,,,,,,,,,,,,run3_21,1,17/02/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAQ67614,,Amplicon,barcode38,,Single_run,,,,,,,0,0,0,0,0,0,Yes,," -9",NTC3__run3_21__instance1.fasta,,2
NTC4,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTC4,sequencing,1,,,,,,,,,,,,,,,,,,,run4_21,1,22/02/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAQ72364,,Amplicon,barcode16,,Single_run,,1,1,0.026902447,0.161805129,0,0,1,321,0,0,0,Yes,," -10",NTC4__run4_21__instance1.fasta,,2
NTC5,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTC5,sequencing,1,,,,,,,,,,,,,,,,,,,run5_21,1,1/3/22,RITM,,,Nanopore,rabvSEasia,Minion,FAQ67517,,Amplicon,barcode21,,Single_run,,1,1,0.110626886,0.443238865,0,0,3,744,0,0,0,Yes,," -10",NTC5__run5_21__instance1.fasta,,2
R1-21-148,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1-21-148,sequencing,1,,,,,,,,,,,,,,,,,,,run3_21,1,17/02/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAQ67614,,Amplicon,barcode01,,Single_run,,125187,125187,4475.726534,2243.720806,4318.5,0,11153,11894,11690,11683,11496,No,,11594,R1-21-148__run3_21__instance1.fasta,,2
R2-081,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2-081,sequencing,1,,,,,,,,,,,,,,,,,,,run5_21,1,1/3/22,RITM,,,Nanopore,rabvSEasia,Minion,FAQ67517,,Amplicon,barcode01,,Single_run,,101178,101178,3470.992876,1985.053452,3355,0,9572,11692,11689,11683,11672,No,,11591,R2-081__run5_21__instance1.fasta,,2
R2-22-5302,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2-22-5302,sequencing,1,,,,,,,,,,,,,,,,,,,run10_23,1,2/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAU43074,,Amplicon,barcode28,,Single_run,,23485,23485,967.6469159,547.8621008,847,0,2515,11685,11677,11676,11657,No,,11583,R2-22-5302__run10_23__instance1.fasta,,2
R2-22-5814,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2-22-5814,sequencing,1,,,,,,,,,,,,,,,,,,,run10_23,1,2/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAU43074,,Amplicon,barcode27,,Single_run,,49816,49816,1549.309252,1228.99752,1301,0,5161,11670,11344,11125,10258,No,,10820,R2-22-5814__run10_23__instance1.fasta,,2
R2-22-8924,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2-22-8924,sequencing,1,,,,,,,,,,,,,,,,,,,run10_23,1,2/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAU43074,,Amplicon,barcode26,,Single_run,,43115,43115,1423.587244,868.341573,1241,0,3806,11684,11682,11676,11676,No,,11591,R2-22-8924__run10_23__instance1.fasta,,2
R2-22-84711,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2-22-84711,sequencing,1,,,,,,,,,,,,,,,,,,,run11_23,1,6/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT96586,,Amplicon,barcode31,,Single_run,,142335,142335,4668.798441,3486.497806,3742.5,0,15083,11618,11586,11360,11151,No,,11266,R2-22-84711__run11_23__instance1.fasta,,2
R3-0483,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3-0483,sequencing,1,,,,,,,,,,,,,,,,,,,run5_21,1,1/3/22,RITM,,,Nanopore,rabvSEasia,Minion,FAQ67517,,Amplicon,barcode03,,Single_run,,27266,27266,1671.840513,598.1084858,1641,0,3181,11812,11677,11676,11676,No,,11579,R3-0483__run5_21__instance1.fasta,,2
R3-21-0467,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3-21-0467,sequencing,1,,,,,,,,,,,,,,,,,,,run4_21,1,22/02/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAQ72364,,Amplicon,barcode15,,Single_run,,8312,8312,268.9239859,322.2012554,90,0,1352,10516,9333,8622,5857,No,,8043,R3-21-0467__run4_21__instance1.fasta,,2
R3-731,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3-731,sequencing,1,,,,,,,,,,,,,,,,,,,run5_21,1,1/3/22,RITM,,,Nanopore,rabvSEasia,Minion,FAQ67517,,Amplicon,barcode02,,Single_run,,62721,62721,2664.61289,1103.346032,2491,0,5850,11886,11680,11676,11676,No,,11596,R3-731__run5_21__instance1.fasta,,2
R5-21-115,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5-21-115,sequencing,1,,,,,,,,,,,,,,,,,,,run4_21,1,22/02/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAQ72364,,Amplicon,barcode05,,Single_run,,67761,67761,2364.112303,1142.209652,2134,0,5479,11905,11888,11887,11884,No,,11795,R5-21-115__run4_21__instance1.fasta,,2
R5-21-119,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5-21-119,sequencing,1,,,,,,,,,,,,,,,,,,,run4_21,1,22/02/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAQ72364,,Amplicon,barcode04,,Single_run,,59368,59368,1958.928847,1115.970534,1800,0,4633,11886,11885,11884,11140,No,,11801,R5-21-119__run4_21__instance1.fasta,,2
R5-21-128,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5-21-128,sequencing,1,,,,,,,,,,,,,,,,,,,run4_21,1,22/02/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAQ72364,,Amplicon,barcode03,,Single_run,,30755,30755,1154.376467,497.1962902,1056,0,2657,11906,11887,11886,11883,No,,11798,R5-21-128__run4_21__instance1.fasta,,2
R5-21-132,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5-21-132,sequencing,1,,,,,,,,,,,,,,,,,,,run3_21,1,17/02/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAQ67614,,Amplicon,barcode37,,Single_run,,194519,194519,9247.281512,3605.793478,9216.5,0,17386,11900,11889,11885,11676,No,,11799,R5-21-132__run3_21__instance1.fasta,,2
R5-21-136,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5-21-136,sequencing,1,,,,,,,,,,,,,,,,,,,run11_23,1,6/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT96586,,Amplicon,barcode32,,Single_run,,76031,76031,3567.293245,1806.053784,3384.5,0,8004,11894,11886,11689,11674,No,,11601,R5-21-136__run11_23__instance1.fasta,,2
R5-21-140,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5-21-140,sequencing,1,,,,,,,,,,,,,,,,,,,run11_23,1,6/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT96586,,Amplicon,barcode33,,Single_run,,127216,127216,5249.104928,2846.126167,4664.5,0,13563,11900,11888,11886,11886,No,,11800,R5-21-140__run11_23__instance1.fasta,,2
R5-22-008,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5-22-008,sequencing,1,,,,,,,,,,,,,,,,,,,run11_23,1,6/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT96586,,Amplicon,barcode34,,Single_run,,103037,103037,3400.954827,2328.702092,2873,0,10293,11783,11678,11677,11458,No,,11596,R5-22-008__run11_23__instance1.fasta,,2
R5-22-09,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R5-22-09,sequencing,1,,,,,,,,,,,,,,,,,,,run5_21,1,1/3/22,RITM,,,Nanopore,rabvSEasia,Minion,FAQ67517,,Amplicon,barcode11,,Single_run,,50180,50180,2903.58582,932.0254402,2867,0,5291,11893,11888,11885,11884,No,,11802,R5-22-09__run5_21__instance1.fasta,,2
R6-21-4343,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6-21-4343,sequencing,1,,,,,,,,,,,,,,,,,,,run11_23,1,6/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT96586,,Amplicon,barcode35,,Single_run,,90441,90441,3976.518689,2166.584121,3497,0,10524,11861,11799,11712,11676,No,,11591,R6-21-4343__run11_23__instance1.fasta,,2
R6-21-4375,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6-21-4375,sequencing,1,,,,,,,,,,,,,,,,,,,run11_23,1,6/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT96586,,Amplicon,barcode36,,Single_run,,203788,203788,7042.236172,4489.993861,6721,0,18057,11718,11679,11676,11522,No,,11573,R6-21-4375__run11_23__instance1.fasta,,2
R6-21-4511,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6-21-4511,sequencing,1,,,,,,,,,,,,,,,,,,,run3_21,1,17/02/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAQ67614,,Amplicon,barcode13,,Single_run,,189873,189873,6961.801291,3373.810536,6576.5,0,16090,11893,11811,11676,11676,No,,11589,R6-21-4511__run3_21__instance1.fasta,,2
R6-21-4600,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6-21-4600,sequencing,1,,,,,,,,,,,,,,,,,,,run3_21,1,17/02/2022,RITM,,,Nanopore,rabvSEasia,Minion,FAQ67614,,Amplicon,barcode25,,Single_run,,129092,129092,4957.942424,2736.298895,4726.5,0,12954,11906,11677,11676,11480,No,,11586,R6-21-4600__run3_21__instance1.fasta,,2
R6-4342,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6-4342,sequencing,1,,,,,,,,,,,,,,,,,,,run5_21,1,1/3/22,RITM,,,Nanopore,rabvSEasia,Minion,FAQ67517,,Amplicon,barcode12,,Single_run,,30225,30225,1875.01584,655.9218054,1860,0,3708,11706,11678,11676,11676,No,,11539,R6-4342__run5_21__instance1.fasta,,2
R6-4568,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6-4568,sequencing,1,,,,,,,,,,,,,,,,,,,run5_21,1,1/3/22,RITM,,,Nanopore,rabvSEasia,Minion,FAQ67517,,Amplicon,barcode13,,Single_run,,63047,63047,2987.019024,1304.903897,2958,0,7016,11891,11822,11676,11676,No,,11569,R6-4568__run5_21__instance1.fasta,,2
R7-21-149,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R7-21-149,sequencing,1,,,,,,,,,,,,,,,,,,,run11_23,1,6/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT96586,,Amplicon,barcode37,,Single_run,,77319,77319,3807.744636,1884.321183,3486,0,9296,11858,11783,11693,11676,No,,11540,R7-21-149__run11_23__instance1.fasta,,2
R7-21-161,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R7-21-161,sequencing,1,,,,,,,,,,,,,,,,,,,run11_23,1,6/3/23,RITM,,,Nanopore,rabvSEasia,Minion,FAT96586,,Amplicon,barcode38,,Single_run,,202645,202645,6757.399598,6037.869055,4963.5,0,27416,11517,11483,11275,10700,No,,11353,R7-21-161__run11_23__instance1.fasta,,2
R9-010,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R9-010,sequencing,1,,,,,,,,,,,,,,,,,,,run5_21,1,1/3/22,RITM,,,Nanopore,rabvSEasia,Minion,FAQ67517,,Amplicon,barcode14,,Single_run,,53625,53625,2607.197285,1118.021451,2587,0,5972,11862,11690,11676,11676,No,,11574,R9-010__run5_21__instance1.fasta,,2
R9-074,,,,,,,,,Unknown,Philippines,,,,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
