"raw_name","barangay_std","municipality_std","province_std"
"Torac, Malay",NA,"Pangasinan-San Carlos City","Pangasinan"
"CM Recto",NA,"Pampanga-Angeles City","Pampanga"
"BASAG",NA,"Albay-Libon","ALBAY"
"ZONE 1",NA,"Albay-Libon","ALBAY"
"PANAL",NA,"Albay-Bacacay","ALBAY"
"BATANG",NA,"Albay-Libon","ALBAY"
"Sinalhan",NA,"Laguna-Santa Rosa City","Laguna"
"TS Cruz Subd.",NA,"Metropolitan Manila-Las Piñas","Metropolitan Manila"
"Bacao 2",NA,"Cavite-General Trias","Cavite"
"Pag-asa",NA,"Cavite-Imus","Cavite"
"San Antonio",NA,"Cavite-Cavite City","Cavite"
"-",NA,"Batangas-Bauan","Batangas"
"BF International",NA,"Metropolitan Manila-Las Piñas","Metropolitan Manila"
"Seacom Compd., Sucat",NA,"Metropolitan Manila-Parañaque","Metropolitan Manila"
"Sampaga Centro",NA,"Batangas-Batangas City","Batangas"
"San Rafael",NA,"Laguna-San Pablo City","Laguna"
"Tipas",NA,"Metropolitan Manila-Pasig City","Metropolitan Manila"
"Camella Homes",NA,"Cavite-Bacoor","Cavite"
"Multinational Vill.",NA,"Metropolitan Manila-Parañaque","Metropolitan Manila"
"Purok 6, Landayan",NA,"Laguna-San Pedro","Laguna"
"Villamor Air Base",NA,"Metropolitan Manila-Pasay City","Metropolitan Manila"
"Pinagtipunan",NA,"Cavite-General Trias","Cavite"
"Upper Bicutan",NA,"Metropolitan Manila-Taguig","Metropolitan Manila"
"San Dionisio",NA,"Metropolitan Manila-Parañaque","Metropolitan Manila"
"PEA 2A, Langgam",NA,"Laguna-San Pedro","Laguna"
"Pasong Buaya II",NA,"Cavite-Imus","Cavite"
"Woodrow Subd.,Bgy. Pasig",NA,"Rizal-Antipolo City","Rizal"
