Sample_ID,Case_no,Accession,Host,Sample_type,Date_source,Barangay,Municipality,Province,Region,Latitude,Longitude,Source,Author,Pubmed,Genome_coverage
R11-2022-14,,OR971632,Canis lupus familiaris,brain,,,,Davao del Norte,Region XI (Davao Region),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99932953
R11-2022-15,,OR971633,Canis lupus familiaris,brain,,,,Davao del Norte,Region XI (Davao Region),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
R11-2022-16,,OR971634,Canis lupus familiaris,brain,,,,Davao del Sur,Region XI (Davao Region),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99949715
R11-2022-19,,OR971635,Canis lupus familiaris,brain,,,,Davao del Sur,Region XI (Davao Region),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99949715
R11-2022-25,,OR971636,Canis lupus familiaris,brain,,,,Davao del Sur,Region XI (Davao Region),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
R11-2022-28,,OR971637,Canis lupus familiaris,brain,,,,Davao del Norte,Region XI (Davao Region),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99932953
R11-2022-30,,OR971638,Canis lupus familiaris,brain,,,,Davao del Norte,Region XI (Davao Region),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99932953
R11-2022-32,,OR971639,Canis lupus familiaris,brain,,,,Davao de Oro (Compostela Valley),Region XI (Davao Region),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99941334
R11-2022-33,,OR971640,Canis lupus familiaris,brain,,,,Davao del Sur,Region XI (Davao Region),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
R11-21-63,,,Canis familiaris,,,,Tagum,Davao del Norte,Region XI (Davao Region),7.4349512,125.799015,phd,,,
R11-22-002,,,Canis familiaris,,,Talomo,Davao City,Davao del Sur,Region XI (Davao Region),7.25443063,125.414487,phd,,,
R12-2019-0861,,OR971649,Canis lupus familiaris,brain,,,,Cotabato (North Cotabato),Region XII (Soccsksargen),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99966477
R12-2021-063,,OR971653,Canis lupus familiaris,brain,,,,Cotabato (South Cotabato),Region XII (Soccsksargen),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99941334
R12-2021-175,,OR971655,Canis lupus familiaris,brain,,,,Cotabato (North Cotabato),Region XII (Soccsksargen),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99949715
R12-2021-176,,OR971656,Canis lupus familiaris,brain,,,,Cotabato (North Cotabato),Region XII (Soccsksargen),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99941334
R12-2021-244,,OR971659,Canis lupus familiaris,brain,,,,Cotabato (North Cotabato),Region XII (Soccsksargen),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
R12-2021-339,,OR971661,Canis lupus familiaris,brain,,,,Cotabato (North Cotabato),Region XII (Soccsksargen),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
R12-2021-905,,OR971663,Canis lupus familiaris,brain,,,,Cotabato (North Cotabato),Region XII (Soccsksargen),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99949715
R13-2021-1498,,OR971668,Canis lupus familiaris,brain,,,Butuan,Agusan del Norte,Region XIII (Caraga),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99949715
R13-2021-1745,,OR971669,Canis lupus familiaris,brain,,,Butuan,Agusan del Norte,Region XIII (Caraga),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99949715
R13-2021-1748,,OR971670,Canis lupus familiaris,brain,,,Butuan,Agusan del Norte,Region XIII (Caraga),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99949715
R13-2021-2121,,OR971671,Canis lupus familiaris,brain,,,Butuan,Agusan del Norte,Region XIII (Caraga),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99941334
R13-2021-2131,,OR971672,Canis lupus familiaris,brain,,,,Agusan del Sur,Region XIII (Caraga),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
R13-2021-2136,,OR971673,Canis lupus familiaris,brain,,,Butuan,Agusan del Norte,Region XIII (Caraga),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99941334
R13-2021-2146,,OR971674,Canis lupus familiaris,brain,,,,Agusan del Sur,Region XIII (Caraga),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99941334
R13-2021-2155,,OR971675,Canis lupus familiaris,brain,,,,Agusan del Sur,Region XIII (Caraga),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99941334
R13-2021-617,,OR971667,Canis lupus familiaris,brain,,,Butuan,Agusan del Norte,Region XIII (Caraga),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99932953
R8-2021-021,,OR971589,Canis lupus familiaris,brain,,,,Samar (Western Samar),Region VIII (Eastern Visayas),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99966477
R8-2021-025,,OR971591,Canis lupus familiaris,brain,,,,Samar (Western Samar),Region VIII (Eastern Visayas),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99916192
R9-010,,,Felis catus,,,San Roque,Zamboanga City,Zamboanga del Sur,Region IX (Zamboanga Peninsula),7.1542009,122.139348,phd,,,
R9-074,,,Canis familiaris,,,Cogon,Vincenzo A. Sagun,Zamboanga del Sur,Region IX (Zamboanga Peninsula),7.51965771,123.173844,phd,,,
R9-089,,,Canis familiaris,,,Pangi,Ipil,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),7.78023525,122.576512,phd,,,
R9-105,,,Canis familiaris,,,Lopoc,Labason,Zamboanga del Norte,Region IX (Zamboanga Peninsula),8.03013514,122.530357,phd,,,
R9-2019-311,,OR971592,Canis lupus familiaris,brain,,,,Zamboanga del Norte,Region IX (Zamboanga Peninsula),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99932953
R9-2021-041,,OR971593,Canis lupus familiaris,brain,,,,Zamboanga,Region IX (Zamboanga Peninsula),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99966477
R9-2021-074,,OR971594,Canis lupus familiaris,brain,,,,Zamboanga del Sur,Region IX (Zamboanga Peninsula),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99949715
R9-2021-075,,OR971595,Canis lupus familiaris,brain,,,,Zamboanga del Sur,Region IX (Zamboanga Peninsula),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
R9-2021-078,,OR971596,Canis lupus familiaris,brain,,,,Zamboanga,Region IX (Zamboanga Peninsula),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
R9-2021-089,,OR971597,Canis lupus familiaris,brain,,,,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
R9-2021-090,,OR971598,Canis lupus familiaris,brain,,,,Zamboanga del Sur,Region IX (Zamboanga Peninsula),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99966477
R9-2021-105,,OR971599,Canis lupus familiaris,brain,,,,Zamboanga del Norte,Region IX (Zamboanga Peninsula),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99941334
Z-12-088,,,Dog,,,TS Cruz Subd.,Las Pinas City,Metropolitan Manila,National Capital Region,,,2018_workshop,,,
Z-13-002,,,Dog,,,BF International,Las Pinas City,Metropolitan Manila,National Capital Region,,,2018_workshop,,,
Z-14-138,,,Dog,,,"Seacom Compd., Sucat",Paranaque City,Metropolitan Manila,National Capital Region,,,2018_workshop,,,
Z-14-152,,,Dog,,,Tipas,Taguig City,Metropolitan Manila,National Capital Region,,,2018_workshop,,,
Z-15-019,,,Dog,,,Multinational Vill.,Paranaque City,Metropolitan Manila,National Capital Region,,,2018_workshop,,,
Z-15-119,,,Dog,,,Villamor Air Base,Pasay City,Metropolitan Manila,National Capital Region,,,2018_workshop,,,
Z-15-148,,,Dog,,,Upper Bicutan,Taguig,Metropolitan Manila,National Capital Region,,,2018_workshop,,,
Z-15-185,,,Dog,,,San Dionisio,Paranaque City,Metropolitan Manila,National Capital Region,,,2018_workshop,,,
