queryName     	major_cladeFinalClade 	minor_cladeFinalClade 
 4B-23-19          	 AL_Asian              	 AL_Asian_SEA4         
 4B-2422           	 AL_Asian              	 AL_Asian_SEA4         
 4B-2922HM         	 AL_Asian              	 AL_Asian_SEA4         
 4B-2922JG         	 AL_Asian              	 AL_Asian_SEA4         
 CAR-22-018        	 AL_Asian              	 AL_Asian_SEA4         
 CAR-22-020        	 AL_Asian              	 AL_Asian_SEA4         
 COW               	 AL_Asian              	 AL_Asian_SEA4         
 GOAT              	 AL_Asian              	 AL_Asian_SEA4         
 H24-028           	 AL_Asian              	 AL_Asian_SEA4         
 R1-21-148         	 AL_Asian              	 AL_Asian_SEA4         
 R10-688           	 AL_Asian              	 AL_Asian_SEA4         
 R10-711           	 AL_Asian              	 AL_Asian_SEA4         
 R10-714           	 AL_Asian              	 AL_Asian_SEA4         
 R10-824           	 AL_Asian              	 AL_Asian_SEA4         
 R10-856           	 AL_Asian              	 AL_Asian_SEA4         
 R10-907           	 AL_Asian              	 AL_Asian_SEA4         
 R10-920           	 AL_Asian              	 AL_Asian_SEA4         
 R10-989           	 AL_Asian              	 AL_Asian_SEA4         
 R10-990           	 AL_Asian              	 AL_Asian_SEA4         
 R11-21-61         	 AL_Asian              	 AL_Asian_SEA4         
 R11-21-63         	 AL_Asian              	 AL_Asian_SEA4         
 R11-22-001        	 AL_Asian              	 AL_Asian_SEA4         
 R11-22-002        	 AL_Asian              	 AL_Asian_SEA4         
 R2-081            	 AL_Asian              	 AL_Asian_SEA4         
 R2-22-5302        	 AL_Asian              	 AL_Asian_SEA4         
 R2-22-5814        	 AL_Asian              	 AL_Asian_SEA4         
 R2-22-84711       	 AL_Asian              	 AL_Asian_SEA4         
 R2-22-8924        	 AL_Asian              	 AL_Asian_SEA4         
 R3-0483           	 AL_Asian              	 AL_Asian_SEA4         
 R3-731            	 AL_Asian              	 AL_Asian_SEA4         
 R5-21-115         	 AL_Asian              	 AL_Asian_SEA4         
 R5-21-119         	 AL_Asian              	 AL_Asian_SEA4         
 R5-21-128         	 AL_Asian              	 AL_Asian_SEA4         
 R5-21-132         	 AL_Asian              	 AL_Asian_SEA4         
 R5-21-136         	 AL_Asian              	 AL_Asian_SEA4         
 R5-21-140         	 AL_Asian              	 AL_Asian_SEA4         
 R5-22-008         	 AL_Asian              	 AL_Asian_SEA4         
 R5-22-09          	 AL_Asian              	 AL_Asian_SEA4         
 R6-21-4343        	 AL_Asian              	 AL_Asian_SEA4         
 R6-21-4375        	 AL_Asian              	 AL_Asian_SEA4         
 R6-21-4511        	 AL_Asian              	 AL_Asian_SEA4         
 R6-21-4600        	 AL_Asian              	 AL_Asian_SEA4         
 R6-4342           	 AL_Asian              	 AL_Asian_SEA4         
 R6-4568           	 AL_Asian              	 AL_Asian_SEA4         
 R7-21-149         	 AL_Asian              	 AL_Asian_SEA4         
 R7-21-161         	 AL_Asian              	 AL_Asian_SEA4         
 R9-010            	 AL_Asian              	 AL_Asian_SEA4         
 R9-074            	 AL_Asian              	 AL_Asian_SEA4         
 R9-089            	 AL_Asian              	 AL_Asian_SEA4         
 R9-105            	 AL_Asian              	 AL_Asian_SEA4         
 RADDL1-16-153     	 AL_Asian              	 AL_Asian_SEA4         
 RADDL1-16-154     	 AL_Asian              	 AL_Asian_SEA4         
 RADDL1-16-166     	 AL_Asian              	 AL_Asian_SEA4         
 RADDL3-1038       	 AL_Asian              	 AL_Asian_SEA4         
 RADDL3-1045       	 AL_Asian              	 AL_Asian_SEA4         
 RADDL3-15-172     	 AL_Asian              	 AL_Asian_SEA4         
 RADDL3-16-1008    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL3-16-468     	 AL_Asian              	 AL_Asian_SEA4         
 RADDL3-16-521     	 AL_Asian              	 AL_Asian_SEA4         
 RADDL3-16-627     	 AL_Asian              	 AL_Asian_SEA4         
 RADDL3-845        	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-042    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-044    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-045    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-046    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-047    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-049    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-052    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-056    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-057    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-058    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-060    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-061    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-065    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-070    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-072    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-076    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-080    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-081    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-085    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-089    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-090    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-092    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-093    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-094    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-095    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-097    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-098    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-099    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-100    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-101    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-104    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-23-105    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-001    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-002    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-003    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-007    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-009    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-011    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-012    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-013    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-014    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-015    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-016    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-017    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-018    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-019    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-021    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-023    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-026    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-027    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-028    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-029    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-030    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-034    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-035    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-037    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-038    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-042    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-043    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-046    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-048    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-049    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-051    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-052    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-053    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-054    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-055    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-056    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-057    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-058    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-059    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-062    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-063    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-066    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-067    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-069    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-070    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-071    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-073    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-074    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-076    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-077    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-078    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-080    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-081    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-082    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-084    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-085    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-086    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-087    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-088    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-093    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-095    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-096    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-097    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-098    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-099    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-100    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-101    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-102    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-106    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-107    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-112    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-113    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-114    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-116    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-117    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-120    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-121    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-122    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-124    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-125    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-127    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-138    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-151    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-153    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-154    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-155    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-156    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-157    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-162    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-173    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-174    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-178    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-180    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-181    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-183    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-184    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-185    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-186    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-187    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-24-188    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-25-005    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-25-006    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-25-008    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-25-009    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-25-017    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-25-022    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-25-032    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL4B-25-039    	 AL_Asian              	 AL_Asian_SEA4         
 RADDL5-005        	 AL_Asian              	 AL_Asian_SEA4         
 REGION_5_2018-100 	 AL_Asian              	 AL_Asian_SEA4         
 REGION_5_2018-304 	 AL_Asian              	 AL_Asian_SEA4         
 REGION_5_2018-311 	 AL_Asian              	 AL_Asian_SEA4         
 REGION_5_2018-50  	 AL_Asian              	 AL_Asian_SEA4         
 REGION_5_2019-1   	 AL_Asian              	 AL_Asian_SEA4         
 REGION_5_2019-13  	 AL_Asian              	 AL_Asian_SEA4         
 Z-05-102          	 AL_Asian              	 AL_Asian_SEA4         
 Z-05-191          	 AL_Asian              	 AL_Asian_SEA4         
 Z-05-557          	 AL_Asian              	 AL_Asian_SEA4         
 Z-05-96           	 AL_Asian              	 AL_Asian_SEA4         
 Z-06-150          	 AL_Asian              	 AL_Asian_SEA4         
 Z-06-295          	 AL_Asian              	 AL_Asian_SEA4         
 Z-06-39           	 AL_Asian              	 AL_Asian_SEA4         
 Z-07-07           	 AL_Asian              	 AL_Asian_SEA4         
 Z-07-351          	 AL_Asian              	 AL_Asian_SEA4         
 Z-07-366          	 AL_Asian              	 AL_Asian_SEA4         
 Z-07-38           	 AL_Asian              	 AL_Asian_SEA4         
 Z-07-387          	 AL_Asian              	 AL_Asian_SEA4         
 Z-07-398          	 AL_Asian              	 AL_Asian_SEA4         
 Z-07-403          	 AL_Asian              	 AL_Asian_SEA4         
 Z-07-407          	 AL_Asian              	 AL_Asian_SEA4         
 Z-08-351          	 AL_Asian              	 AL_Asian_SEA4         
 Z-08-359          	 AL_Asian              	 AL_Asian_SEA4         
 Z-09-94           	 AL_Asian              	 AL_Asian_SEA4         
 Z-12-001          	 AL_Asian              	 AL_Asian_SEA4         
 Z-12-012          	 AL_Asian              	 AL_Asian_SEA4         
 Z-12-029          	 AL_Asian              	 AL_Asian_SEA4         
 Z-12-060          	 AL_Asian              	 AL_Asian_SEA4         
 Z-12-088          	 AL_Asian              	 AL_Asian_SEA4         
 Z-12-118          	 AL_Asian              	 AL_Asian_SEA4         
 Z-12-134          	 AL_Asian              	 AL_Asian_SEA4         
 Z-12-149          	 AL_Asian              	 AL_Asian_SEA4         
 Z-12-208          	 AL_Asian              	 AL_Asian_SEA4         
 Z-12-212          	 AL_Asian              	 AL_Asian_SEA4         
 Z-13-002          	 AL_Asian              	 AL_Asian_SEA4         
 Z-13-009          	 AL_Asian              	 AL_Asian_SEA4         
 Z-13-020          	 AL_Asian              	 AL_Asian_SEA4         
 Z-13-032          	 AL_Asian              	 AL_Asian_SEA4         
 Z-13-036          	 AL_Asian              	 AL_Asian_SEA4         
 Z-13-065          	 AL_Asian              	 AL_Asian_SEA4         
 Z-13-066          	 AL_Asian              	 AL_Asian_SEA4         
 Z-13-071          	 AL_Asian              	 AL_Asian_SEA4         
 Z-13-073          	 AL_Asian              	 AL_Asian_SEA4         
 Z-13-081          	 AL_Asian              	 AL_Asian_SEA4         
 Z-13-086          	 AL_Asian              	 AL_Asian_SEA4         
 Z-13-089          	 AL_Asian              	 AL_Asian_SEA4         
 Z-13-094          	 AL_Asian              	 AL_Asian_SEA4         
 Z-13-096          	 AL_Asian              	 AL_Asian_SEA4         
 Z-13-098          	 AL_Asian              	 AL_Asian_SEA4         
 Z-13-134          	 AL_Asian              	 AL_Asian_SEA4         
 Z-13-135          	 AL_Asian              	 AL_Asian_SEA4         
 Z-13-161          	 AL_Asian              	 AL_Asian_SEA4         
 Z-13-171          	 AL_Asian              	 AL_Asian_SEA4         
 Z-13-184          	 AL_Asian              	 AL_Asian_SEA4         
 Z-13-204          	 AL_Asian              	 AL_Asian_SEA4         
 Z-13-216          	 AL_Asian              	 AL_Asian_SEA4         
 Z-13-234          	 AL_Asian              	 AL_Asian_SEA4         
 Z-13-259          	 AL_Asian              	 AL_Asian_SEA4         
 Z-14-023          	 AL_Asian              	 AL_Asian_SEA4         
 Z-14-033          	 AL_Asian              	 AL_Asian_SEA4         
 Z-14-05           	 AL_Asian              	 AL_Asian_SEA4         
 Z-14-058          	 AL_Asian              	 AL_Asian_SEA4         
 Z-14-098          	 AL_Asian              	 AL_Asian_SEA4         
 Z-14-101          	 AL_Asian              	 AL_Asian_SEA4         
 Z-14-106          	 AL_Asian              	 AL_Asian_SEA4         
 Z-14-126          	 AL_Asian              	 AL_Asian_SEA4         
 Z-14-136          	 AL_Asian              	 AL_Asian_SEA4         
 Z-14-138          	 AL_Asian              	 AL_Asian_SEA4         
 Z-14-142          	 AL_Asian              	 AL_Asian_SEA4         
 Z-14-146          	 AL_Asian              	 AL_Asian_SEA4         
 Z-14-149          	 AL_Asian              	 AL_Asian_SEA4         
 Z-14-152          	 AL_Asian              	 AL_Asian_SEA4         
 Z-14-182          	 AL_Asian              	 AL_Asian_SEA4         
 Z-14-243          	 AL_Asian              	 AL_Asian_SEA4         
 Z-15-001          	 AL_Asian              	 AL_Asian_SEA4         
 Z-15-009          	 AL_Asian              	 AL_Asian_SEA4         
 Z-15-019          	 AL_Asian              	 AL_Asian_SEA4         
 Z-15-116          	 AL_Asian              	 AL_Asian_SEA4         
 Z-15-130          	 AL_Asian              	 AL_Asian_SEA4         
 Z-15-148          	 AL_Asian              	 AL_Asian_SEA4         
 Z-15-163          	 AL_Asian              	 AL_Asian_SEA4         
 Z-15-185          	 AL_Asian              	 AL_Asian_SEA4         
 Z-16-013          	 AL_Asian              	 AL_Asian_SEA4         
 Z-16-082          	 AL_Asian              	 AL_Asian_SEA4         
 Z-16-150          	 AL_Asian              	 AL_Asian_SEA4         
 Z-16-151          	 AL_Asian              	 AL_Asian_SEA4         
 Z-16-159          	 AL_Asian              	 AL_Asian_SEA4         
 Z-16-186          	 AL_Asian              	 AL_Asian_SEA4         
 Z-16-196          	 AL_Asian              	 AL_Asian_SEA4         
 Z-16-209          	 AL_Asian              	 AL_Asian_SEA4         
 Z-16-210          	 AL_Asian              	 AL_Asian_SEA4         
 Z-16-211          	 AL_Asian              	 AL_Asian_SEA4         
 Z-17-046          	 AL_Asian              	 AL_Asian_SEA4         
 Z-17-174          	 AL_Asian              	 AL_Asian_SEA4         
 Z-17-177          	 AL_Asian              	 AL_Asian_SEA4         
 Z-17-193          	 AL_Asian              	 AL_Asian_SEA4         
 Z-17-200          	 AL_Asian              	 AL_Asian_SEA4         
 Z-17-217          	 AL_Asian              	 AL_Asian_SEA4         
 Z-17-221          	 AL_Asian              	 AL_Asian_SEA4         
 Z-17-57           	 AL_Asian              	 AL_Asian_SEA4         
 Z-18-001          	 AL_Asian              	 AL_Asian_SEA4         
 Z-18-114          	 AL_Asian              	 AL_Asian_SEA4         
 Z-18-159          	 AL_Asian              	 AL_Asian_SEA4         
 Z-18-224          	 AL_Asian              	 AL_Asian_SEA4         
 Z-18-251          	 AL_Asian              	 AL_Asian_SEA4         
 Z-19-029          	 AL_Asian              	 AL_Asian_SEA4         
 Z-19-123          	 AL_Asian              	 AL_Asian_SEA4         
 Z-19-136          	 AL_Asian              	 AL_Asian_SEA4         
 Z-19-88           	 AL_Asian              	 AL_Asian_SEA4         
 Z-20-01           	 AL_Asian              	 AL_Asian_SEA4         
 Z-20-110          	 AL_Asian              	 AL_Asian_SEA4         
 Z-20-24           	 AL_Asian              	 AL_Asian_SEA4         
 Z-20-33           	 AL_Asian              	 AL_Asian_SEA4         
 Z-20-51           	 AL_Asian              	 AL_Asian_SEA4         
 Z-22-103          	 AL_Asian              	 AL_Asian_SEA4         
 Z-22-119          	 AL_Asian              	 AL_Asian_SEA4         
 Z-22-121          	 AL_Asian              	 AL_Asian_SEA4         
 Z-23-01           	 AL_Asian              	 AL_Asian_SEA4         
 Z-23-01Sa         	 AL_Asian              	 AL_Asian_SEA4         
 Z-24-141          	 AL_Asian              	 AL_Asian_SEA4         
 Z-24-142          	 AL_Asian              	 AL_Asian_SEA4         
 Z-98-1061         	 AL_Asian              	 AL_Asian_SEA4         
 Z-98-285          	 AL_Asian              	 AL_Asian_SEA4         
 Z-98-286          	 AL_Asian              	 AL_Asian_SEA4         
 Z-98-433          	 AL_Asian              	 AL_Asian_SEA4         
 Z-98-454          	 AL_Asian              	 AL_Asian_SEA4         
 Z-98-515          	 AL_Asian              	 AL_Asian_SEA4         
 Z-98-616          	 AL_Asian              	 AL_Asian_SEA4         
 Z-98-718          	 AL_Asian              	 AL_Asian_SEA4         
 Z-98-780          	 AL_Asian              	 AL_Asian_SEA4         
 Z-98-838          	 AL_Asian              	 AL_Asian_SEA4         
 Z-98-860          	 AL_Asian              	 AL_Asian_SEA4         
