"Sample_ID","Case_no","Accession","Host","Sample_type","Preferred_date","Date_source","Barangay","Municipality","Municipality_std","Province","Province_std","Region","Region_std","Latitude","Longitude","Source","Author","Pubmed","Genome_coverage","Host_scientific","Host_common","Host_type","Major_Island","seq_name","phylogenetic_clade"
"R2-2019-7838",NA,"OR971395","Canis lupus familiaris","brain","=""20-sep-2019""","date_collected","Don domingo maddela pob. (District i)","Bayombong","Nueva Vizcaya-Bayombong","Nueva vizcaya","Nueva Vizcaya","Region II (Cagayan Valley)","Region II (Cagayan Valley)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999329534,"Canis lupus familiaris","Dog","Domestic","Luzon","OR971395","AL_Asian_SEA4"
"18-142",NA,"OQ326784","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Nabunturan","Compostela Valley-Nabunturan","Davao de Oro (Compostela Valley)","Compostela Valley","Davao Region","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326784","AL_Asian_SEA4"
"18-181",NA,"OQ326783","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326783","AL_Asian_SEA4"
"18-221",NA,"OQ326782","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326782","AL_Asian_SEA4"
"18-209",NA,"OQ326781","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326781","AL_Asian_SEA4"
"18-194",NA,"OQ326780","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326780","AL_Asian_SEA4"
"18-196",NA,"OQ326779","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326779","AL_Asian_SEA4"
"18-223",NA,"OQ326778","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326778","AL_Asian_SEA4"
"18-183",NA,"OQ326777","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326777","AL_Asian_SEA4"
"18-144",NA,"OQ326776","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326776","AL_Asian_SEA4"
"18-179",NA,"OQ326775","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,NA,NA,"Cotabato (North Cotabato)","North Cotabato","Region XII (Soccsksargen)","Region XII (Soccsksargen)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326775","AL_Asian_SEA4"
"18-151",NA,"OQ326774","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326774","AL_Asian_SEA4"
"18-153",NA,"OQ326773","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326773","AL_Asian_SEA4"
"18-147",NA,"OQ326772","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326772","AL_Asian_SEA4"
"18-225",NA,"OQ326771","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326771","AL_Asian_SEA4"
"19-022",NA,"OQ326770","Canis lupus familiaris","brain","=""01-Jan-2019""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326770","AL_Asian_SEA4"
"18-224",NA,"OQ326769","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326769","AL_Asian_SEA4"
"18-191",NA,"OQ326768","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326768","AL_Asian_SEA4"
"18-135",NA,"OQ326767","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326767","AL_Asian_SEA4"
"18-121",NA,"OQ326766","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326766","AL_Asian_SEA4"
"19-050",NA,"OQ326765","Canis lupus familiaris","brain","=""01-Jan-2019""","date_collected",NA,"Panabo","Davao del Norte-Carmen","Davao del Norte","Davao del Norte","Davao Region","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326765","AL_Asian_SEA4"
"18-096",NA,"OQ326764","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326764","AL_Asian_SEA4"
"19-045",NA,"OQ326763","Canis lupus familiaris","brain","=""01-Jan-2019""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326763","AL_Asian_SEA4"
"18-120",NA,"OQ326762","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326762","AL_Asian_SEA4"
"18-094",NA,"OQ326761","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326761","AL_Asian_SEA4"
"18-133",NA,"OQ326760","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Tagum","Davao del Norte-Carmen","Davao del Norte","Davao del Norte","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326760","AL_Asian_SEA4"
"18-130",NA,"OQ326759","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326759","AL_Asian_SEA4"
"18-118",NA,"OQ326758","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected","Cogon","Digos","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326758","AL_Asian_SEA4"
"18-092",NA,"OQ326757","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326757","AL_Asian_SEA4"
"18-114",NA,"OQ326756","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326756","AL_Asian_SEA4"
"18-101",NA,"OQ326755","Canis lupus familiaris","brain","=""01-Jan-2018""","date_collected",NA,"Davao","Davao del Sur-Sulop","Davao del Sur","Davao del Sur","Region XI (Davao Region)","Region XI (Davao Region)",NA,NA,"vgtk; manual_correction","Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.988937311,"Canis lupus familiaris","Dog","Domestic","Mindanao","OQ326755","AL_Asian_SEA4"
"R6-2021-4568",NA,"OR971544","Canis lupus familiaris","brain","=""12-oct-2021""","date_collected","Avila","Buenavista","Guimaras-Buenavista","Guimaras","Guimaras","Region VI (Western Visayas)","Region VI (Western Visayas)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767,"Canis lupus familiaris","Dog","Domestic","Visayas","OR971544","AL_Asian_SEA4"
"R6-2021-4511",NA,"OR971543","Canis lupus familiaris","brain","=""07-oct-2021""","date_collected","San isidro","Sibalom","Antique-Sibalom","Antique","Antique","Region VI (Western Visayas)","Region VI (Western Visayas)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999413342,"Canis lupus familiaris","Dog","Domestic","Visayas","OR971543","AL_Asian_SEA4"
"R6-2021-4447",NA,"OR971542","Canis lupus familiaris","brain","=""06-oct-2021""","date_collected","Silagon","Ajuy","Iloilo-Ajuy","Iloilo","Iloilo","Region VI (Western Visayas)","Region VI (Western Visayas)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767,"Canis lupus familiaris","Dog","Domestic","Visayas","OR971542","AL_Asian_SEA4"
"R6-2021-4446",NA,"OR971541","Canis lupus familiaris","brain","=""06-oct-2021""","date_collected",NA,"Barotac nuevo","Iloilo-Barotac Nuevo","Iloilo","Iloilo","Region VI (Western Visayas)","Region VI (Western Visayas)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767,"Canis lupus familiaris","Dog","Domestic","Visayas","OR971541","AL_Asian_SEA4"
"R6-2021-4431",NA,"OR971540","Canis lupus familiaris","brain","=""05-oct-2021""","date_collected","Kirayan","Miagao","Iloilo-Miagao","Iloilo","Iloilo","Region VI (Western Visayas)","Region VI (Western Visayas)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767,"Canis lupus familiaris","Dog","Domestic","Visayas","OR971540","AL_Asian_SEA4"
"R6-2019-3499",NA,"OR971539","Canis lupus familiaris","brain","=""10-oct-2019""","date_collected","Barangay 14 pob.","San miguel","Iloilo-San Miguel","Iloilo","Iloilo","Region VI (Western Visayas)","Region VI (Western Visayas)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767,"Canis lupus familiaris","Dog","Domestic","Visayas","OR971539","AL_Asian_SEA4"
"R6-2019-3303",NA,"OR971538","Canis lupus familiaris","brain","=""17-sep-2019""","date_collected","Egana",NA,NA,"Antique","Antique","Region VI (Western Visayas)","Region VI (Western Visayas)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767,"Canis lupus familiaris","Dog","Domestic","Visayas","OR971538","AL_Asian_SEA4"
"R6-2019-2940",NA,"OR971537","Canis lupus familiaris","brain","=""29-aug-2019""","date_collected","Poblacion","Jamindan","Capiz-Dao","Capiz","Capiz","Region VI (Western Visayas)","Region VI (Western Visayas)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767,"Canis lupus familiaris","Dog","Domestic","Visayas","OR971537","AL_Asian_SEA4"
"R6-2019-2722",NA,"OR971536","Canis lupus familiaris","brain","=""17-jun-2019""","date_collected","Igang","Nueva valencia","Guimaras-Nueva Valencia","Guimaras","Guimaras","Region VI (Western Visayas)","Region VI (Western Visayas)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767,"Canis lupus familiaris","Dog","Domestic","Visayas","OR971536","AL_Asian_SEA4"
"R6-2019-2184",NA,"OR971535","Canis lupus familiaris","brain","=""11-jun-2019""","date_collected",NA,"Iloilo city","Iloilo-Ajuy","Iloilo","Iloilo","Region VI (Western Visayas)","Region VI (Western Visayas)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999664767,"Canis lupus familiaris","Dog","Domestic","Visayas","OR971535","AL_Asian_SEA4"
"R6-2019-1399",NA,"OR971534","Canis lupus familiaris","brain","=""15-apr-2019""","date_collected","Baybay","Tangalan","Aklan-Batan","Aklan","Aklan","Region VI (Western Visayas)","Region VI (Western Visayas)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999161918,"Canis lupus familiaris","Dog","Domestic","Visayas","OR971534","AL_Asian_SEA4"
"R5-2021-0517",NA,"OR971533","Canis lupus familiaris","brain","=""10-May-2021""","date_collected","Batobalani","Paracale","Camarines Norte-Paracale","Camarines Norte","Camarines Norte","Region V (Bicol Region)","Region V (Bicol Region)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999329534,"Canis lupus familiaris","Dog","Domestic","Luzon","OR971533","AL_Asian_SEA4"
"R5-2021-0478",NA,"OR971532","Canis lupus familiaris","brain","=""06-May-2021""","date_collected","San antonio","Tabaco city","Albay-Tabaco City","Albay","Albay","Region V (Bicol Region)","Region V (Bicol Region)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999329534,"Canis lupus familiaris","Dog","Domestic","Luzon","OR971532","AL_Asian_SEA4"
"R5-2021-0475",NA,"OR971531","Canis lupus familiaris","brain","=""05-May-2021""","date_collected","Catalotoan","Sagñay","Camarines Sur-Goa","Camarines Sur","Camarines Sur","Region V (Bicol Region)","Region V (Bicol Region)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999329534,"Canis lupus familiaris","Dog","Domestic","Luzon","OR971531","AL_Asian_SEA4"
"R5-2021-0472",NA,"OR971530","Canis lupus familiaris","brain","=""03-May-2021""","date_collected","Calangcawan sur","Vinzons","Camarines Norte-Vinzons","Camarines Norte","Camarines Norte","Region V (Bicol Region)","Region V (Bicol Region)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999329534,"Canis lupus familiaris","Dog","Domestic","Luzon","OR971530","AL_Asian_SEA4"
"R5-2021-0470",NA,"OR971529","Canis lupus familiaris","brain","=""03-May-2021""","date_collected","Poblacion","Talisay","Camarines Norte-Daet","Camarines Norte","Camarines Norte","Region V (Bicol Region)","Region V (Bicol Region)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999329534,"Canis lupus familiaris","Dog","Domestic","Luzon","OR971529","AL_Asian_SEA4"
"R5-2021-0447",NA,"OR971528","Canis lupus familiaris","brain","=""26-Apr-2021""","date_collected","Managanaga","Bulan","Sorsogon-Bulan","Sorsogon","Sorsogon","Region V (Bicol Region)","Region V (Bicol Region)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999413342,"Canis lupus familiaris","Dog","Domestic","Luzon","OR971528","AL_Asian_SEA4"
"R5-2021-0446",NA,"OR971527","Canis lupus familiaris","brain","=""27-Apr-2021""","date_collected","Azucena","Sipocot","Camarines Sur-Sipocot","Camarines Sur","Camarines Sur","Region V (Bicol Region)","Region V (Bicol Region)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999329534,"Canis lupus familiaris","Dog","Domestic","Luzon","OR971527","AL_Asian_SEA4"
"R5-2021-0445",NA,"OR971526","Canis lupus familiaris","brain","=""26-Apr-2021""","date_collected","San francisco","Bulan","Sorsogon-Bulan","Sorsogon","Sorsogon","Region V (Bicol Region)","Region V (Bicol Region)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999329534,"Canis lupus familiaris","Dog","Domestic","Luzon","OR971526","AL_Asian_SEA4"
"R5-2021-0426",NA,"OR971525","Canis lupus familiaris","brain","=""19-Apr-2021""","date_collected","Tuburan","Ligao city","Albay-Ligao City","Albay","Albay","Region V (Bicol Region)","Region V (Bicol Region)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999329534,"Canis lupus familiaris","Dog","Domestic","Luzon","OR971525","AL_Asian_SEA4"
"R5-2021-0424",NA,"OR971524","Canis lupus familiaris","brain","=""19-Apr-2021""","date_collected","Bactas","Basud","Camarines Norte-Basud","Camarines Norte","Camarines Norte","Region V (Bicol Region)","Region V (Bicol Region)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999329534,"Canis lupus familiaris","Dog","Domestic","Luzon","OR971524","AL_Asian_SEA4"
"R5-2021-0404",NA,"OR971523","Canis lupus familiaris","brain","=""12-Apr-2021""","date_collected","Tara","Sipocot","Camarines Sur-Sipocot","Camarines Sur","Camarines Sur","Region V (Bicol Region)","Region V (Bicol Region)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999161918,"Canis lupus familiaris","Dog","Domestic","Luzon","OR971523","AL_Asian_SEA4"
"R5-2021-0376",NA,"OR971522","Canis lupus familiaris","brain","=""02-Apr-2021""","date_collected","Burgos","Daraga","Albay-Daraga","Albay","Albay","Region V (Bicol Region)","Region V (Bicol Region)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999329534,"Canis lupus familiaris","Dog","Domestic","Luzon","OR971522","AL_Asian_SEA4"
